ソンリム	Songnim
カルシャ	Karsha
カルシャン	Kurseong
カルシュ	Karsch
カルス	Kars
カルステット	Karstadt
カルステン	Karsten
カルステンス	Carstens
カルゼン	Karsen
カルタイヤック	Cartailhac
カルタクショ	Khartaksko
カルタゴ	Cartago
カルタショ	Cartaxo
カルタショフ	Kartaschoff
カルタヘナ	Cartagena
カルタルイ	Kartaly
カルタン	Cartan
カルタンマルク	Kaltenmark
カルダス	Caldas
カルダノ	Cardano
カルダレッリ	Cardarelli
カルダン	Cardin
カルチエ	Cartier
カルテ	Khalte
カルテリ	Carteri
カルテン	Karten
カルデア	Chaldea
カルデナス	Cardenas
カルデナル	Cardenal
カルデラ	Caldera
カルデリ	Kardelj
カルデルス	Calders
カルデロン	Caldero'n
カルト	Karuto
カルトウ	Cartou
カルトブルン	Kaltbrunn
カルトン	Carton
カルドア	Kaldor
カルドルフ	Kardorff
カルドロン	Calderone
カルドン	Kardon
カルナ	Kalna
カルナウホワ	Karnaukhova
カルナシデ	Carnaxide
カルナック	Al-Karnak
カルナップ	Carnap
カルナン	Calnan
カルニ	Karni
カルニオラ	Carniola
カルニング	Kalning
カルネ	Carne
カルネイロ	Carneiro
カルネック	Carnec
カルネラ	Carnera
カルノワ	Carnoy
カルバシュ	Karvas
カルバドス	Calvados
カルバハル	Carvajal
カルバヨグ	Calbayog
カルバラ	Karbala
カルバリノ	Carballino
カルバリヤ	Kalvariya
カルバリョ	Carballo
カルバン	Colborne
カルパチア	Carpathian
カルパッチオ	Carpaccio
カルパッチョ	Carpaccio
カルパノ	Carupano
カルパントラス	Carpentras
カルビ	Karubi
カルビシウス	Calvisius
カルビナ	Kalvina
カルビニア	Calvinia
カルビン	Calvin
カルピ	Carpi
カルピオ	Carpio
カルピニ	Carpini
カルピンスク	Karpinsk
カルフ	Kalf
カルブレイス	Calbraith
カルブレス	Culbreath
カルプ	Carp
カルプルニウス	Calpurnius
カルベ	Calve
カルベル	Calvel
カルベロ	Calvero
カルペ	Karpe
カルペンコ	Karpenko
カルボ	Calvo
カルボス	Kalvos
カルボニエ	Carbonnier
カルポジ	Carpozi
カルポビッチ	Karpovich
カルポフ	Karpov
カルポル	Calpol
カルマ	Karma
カルマイエル	Kallmeyer
カルマス	Calmes
カルマニョラ	Carmagnola
カルマル	Kalmar
カルマン	Calman
カルミ	Carmi
カルミツ	Karmitz
カルミレルリ	Carmirelli
カルミン	Karmin
カルム	Calm
カルムイク	Kalmyk
カルムス	Kalmus
カルムトハウト	Kalmthout
カルムナイ	Kalmunai
カルメ	Calmet
カルメット	Calmette
カルメラ	Carmela
カルメリ	Carmeli
カルメル	Carmel
カルメロ	Carmelo
カルメン	Carmen
カルモ	Carmo
カルモナ	Carmona
カルモンテル	Carmontelle
カルラ	Carra
カルラン	Karlin
カルリ	Carli
カルリエ	Carlier
カルリガリス	Calligaris
カルリュ	Carlu
カルリン	Carlin
カルル	Karl
カルルグレン	Carlgren
カルルスハムン	Karlshamn
カルレ	Carle
カルレス	Carles
カルレン	Carle'n
カルロ	Carlo
カルロス	Carlos
カルロッタ	Carlotta
カルロバグ	Karlobag
カルロバツ	Karlovac
カルロフ	Karlov
カルワプル	Kalwapur
カルン	Calne
カルンベルジン	Kalnberzin
カルンボア	Kalunborg
カレ	Cales
カレイ	Carei
カレイア	Calleia
カレオ	Calleo
カレガリ	Callegari
カレキシコ	Calexico
カレス	Cales
カレスアンド	Karesuando
カレダ	Khaleda
カレック	Carek
カレット	Carette
カレツキ	Kalecki
カレドニア	Caledonia
カレナ	Carena
カレニナ	Karenina
カレビ	Kalevi
カレフ	Calef
カレマ	Karema
カレラ	Carrera
カレラス	Carreras
カレリア	Karelia
カレリャ	Calella
カレリン	Kareine
カレル	Carell
カレルマン	Carelman
カレルリ	Carelli
カレワ	Kalewa
カレワラ	Kalevala
カレン	Karen
カレンバック	Callenbach
カレンバハ	Kallenbach
カレンベルク	Korenberg
カロ	Callot
カロウ	Callow
カロオカン	Caloocan
カロゾルス	Carrothers
カロチャ	Kalocsa
カロッサ	Carossa
カロフ	Calov
カロマルデ	Calomarde
カロミリス	Kalomiris
カロモ	Kalomo
カロラ	Carora
カロライナ	Carolina
カロリング	Karolinger
カロル	Karol
カロルトン	Carrollton
カロルビル	Carrollville
カロロス	Karolos
カロン	Charon
カロンガ	Karonga
カロンジ	Kalonji
カロンデレト	Carondelet
カロンヌ	Calonne
カワイハエ	kawaihae
カワサキ	Kawasaki
カワスマ	Kawasuma
カワヤン	Cauayan
カワル	Kauar
カワワ	Kawawa
カワン	Kawan
カヲリ	Kaori
カヲル	Kaoru
カン	Caen
カンエ	Kanye
カンカン	Kankan
カンガス	Cangas
カンガスニエミ	Kangasniemi
カンガニス	Kanganis
カンガワル	Kangavar
カンガンバ	Cangamba
カンギレム	Canguilhem
カンクリン	Kankrin
カンクン	Cancun
カンゲ	Kanggye
カンコンス	Quinconces
カンゴ	Kango
カンサス	Kansas
カンザス	Kansas
カンシルマン	Counsilman
カンジ	Kandi
カンジアロ	Kandiaro
カンジヤ	Kanjiya
カンスク	Kansk
カンセコ	Canseco
カンソン	Kangson
カンタイ	Kantai
カンタガロ	Cantagalo
カンタス	Qantas
カンタナガル	Kantanagar
カンタブリア	Cantabria
カンタベリ	Canterbury
カンタベリイ	Canterbury
カンタラ	Al-Qantarah
カンタリス	Kantaris
カンタル	Cantal
カンタレッリ	Cantarelli
カンタレリ	Cantarelli
カンダウレス	Kandaules
カンダハル	Kandahar
カンダラクシャ	Kandalaksha
カンダラフト	Qandalaft
カンダレウス	Kandaules
カンダワ	Kandava
カンダンガン	Kandangan
カンチョウ	Ganzhou
カンテ	Kante
カンテッリ	Cantelli
カンテリ	Cantelli
カンデラ	Candela
カンデラリア	Candelaria
カンデル	Cundell
カンデレダ	Candeleda
カント	Kanth
カントナ	Cantona
カントニ	Cantoni
カントル	Cantor
カントロビッチ	Kantorowicz
カントロフ	Kantorow
カントン	Canton
カンドラ	Kandla
カンドル	Candolle
カンドワ	Khandwa
カンドン	Candon
カンドンブレ	candomble
カンナ	Kanna
カンナビヒ	Cannabich
カンナレッジョ	Cannaregio
カンニンガム	Cunningham
カンヌ	Cannes
カンヌン	Gangrung
カンネメイエル	Canne-Meijer
カンノビオ	Cannobio
カンハイ	Kanhai
カンバシラ	Kanbashira
カンバセレス	Cambaceres
カンバタ	Khambata
カンバッタ	Khambatta
カンバルス	Convers
カンバルダ	Kambalda
カンバン	Kamban
カンパナ	Campana
カンパナリオ	Campanario
カンパニア	Campania
カンパニャ	Campanha
カンパニヤ	Campania
カンパネラ	Campanella
カンパラ	Kampala
カンパリ	Campari
カンパン	Campan
カンビセス	Cambyses
カンピ	Campi
カンピオン	Campion
カンピストロン	Campistron
カンピドリオ	Campidoglio
カンピナス	Campinas
カンピン	Campin
カンブイ	Cambui
カンブシ	Cambuci
カンブリア	Cambria
カンブル	Kumble
カンブルラン	Cambreling
カンプ	Kampf
カンプソン	Compson
カンプチア	Cambodia
カンプハウゼン	Camphausen
カンプホイセン	Camphuysen
カンプマン	Kampfmann
カンプラ	Campra
カンベイ	Cambay
カンベルタウン	Campbelltown
カンベルトン	Cambellton
カンベルポル	Campbellpore
カンペ	Campe
カンペッジョ	Campeggio
カンペルト	Campert
カンペルマン	Kampelman
カンペン	Kampen
カンペンドンク	Campendonck
カンペンハウト	Kampenhout
カンボジア	Cambodia
カンボジャ	Cambodia
カンボジヤ	Cambodia
カンボベ	Kambove
カンボン	Cambon
カンポ	Campo
カンポアレグレ	Campoalegre
カンポス	Campos
カンポバッソ	Campobasso
カンポマネス	Campomanes
カンポラ	Campora
カンマム	Khammam
カンマメット	Khammamett
カンヤ	Kanya
カンリフ	Cunliffe
ガイ	Gai
ガイア	Gaia
ガイアナ	Guyana
ガイウス	Gaius
ガイエル	Guiel
ガイオ	Gaio
ガイガタ	Gaighata
ガイギャックス	Gygax
ガイシン	Gaisin
ガイジュセク	Gajdusek
ガイス	Geiss
ガイスト	Geist
ガイスブレヒト	Ghysbrecht
ガイスリンゲン	Geislingen
ガイゼル	Geisel
ガイタ	Guaita
ガイタン	Gaitan
ガイダル	Gaidar
ガイダン	Ghaidan
ガイチ	Gaichi
ガイツキル	Gaitskell
ガイテル	Geitel
ガイトン	Guyton
ガイナン	Guinan
ガイバンダ	Gaibanda
ガイプ	Gipe
ガイベル	Geibel
ガイマン	Geyman
ガイヤ	Gaiya
ガイヤック	Gaillac
ガイヨス	Gajos
ガイヨン	Gaillon
ガイル	Geyl
ガイルス	Guiles
ガウ	Gow
ガウイング	Gowing
ガウク	Gauk
ガウス	Gauss
ガウチ	Gauchi
ガウチンスキ	Galczynski
ガウプ	Gaupp
ガウランド	Gowland
ガウリコ	Gaurico
ガウンデレ	Ngaoundere
ガエ	Gae
ガエゴス	Gallegos
ガエタ	Gaeta
ガエタノ	Gaetano
ガエタン	Gaetan
ガエル	Gael
ガオ	Gao
ガオス	Gaos
ガガンギル	Gagangir
ガゴ	Gago
ガゴシアン	Gagosian
ガサ	Gasa
ガサン	Gasan
ガザ	Gaza
ガザウエト	Ghazaouet
ガザニガ	Gazzaniga
ガザラ	Ghazala
ガザリアン	Ghazarian
ガシュパレク	Gasparek
ガシュミ	Gashmi
ガジアンテプ	Gaziantep
ガジエ	Gazier
ガジマンド	Gajimandou
ガジャ	Gajda
ガジャチ	Gadyach
ガジャン	Gajan
ガス	Gus
ガスキル	Gaskill
ガスキン	Gaskin
ガスケ	Gasquet
ガスコ	Gasco
ガスコイン	Gascoigne
ガスコン	Gascogne
ガスコンニュ	Gascogne
ガスタフソン	Gustafson
ガストニア	Gastonia
ガストルド	Gasztold
ガストレ	Gastre
ガストン	Gaston
ガスニエ	Gasnier
ガスパラン	Gasparin
ガスパリ	Gasparri
ガスパリアン	Gasparian
ガスパル	Gaspard
ガスパルト	Gaspart
ガスピラル	Gaspiral
ガスプロム	Gazprom
ガスペ	Gaspe
ガスマン	Gassmann
ガズデン	Gadsden
ガセット	Gasset
ガゼッキ	Gazecki
ガゼッタ	Gazzetta
ガタズ	Gattaz
ガタリ	Guattari
ガタリッジ	Gutteridge
ガダグ	Gadag
ガダフム	Qadhakhum
ガダミス	Gadames
ガダメス	Ghadames
ガダラ	Gadara
ガチフロ	Gatiflo
ガチャ	Gatsha
ガッシエ	Gassier
ガッシオン	Gassion
ガッシュ	Gasch
ガッソウ	Gussow
ガッダ	Gadda
ガッチ	Gutch
ガッチナ	Gatchina
ガッチナラ	Gattinara
ガッツ	Gattsu
ガッテニョ	Gattegno
ガッテンドルフ	Gattendorf
ガット	Gatt
ガットマン	Guttman
ガットランド	Gatland
ガットリン	Gatlin
ガッド	Gadd
ガッビ	Gabbi
ガッリズガロ	Gallizugaro
ガツコ	Gacko
ガテマラ	Guatemala
ガデス	Gades
ガデンヌ	Gadenne
ガト	Gath
ガトス	Gatos
ガトスキ	Gadski
ガトマン	Gutman
ガトリフ	Gatlif
ガトリング	Gatling
ガドラ	Gadra
ガドリン	Gadolin
ガナッシ	Ganassi
ガナッタ	Ganatta
ガニ	Ghani
ガニア	Gagne
ガニエ	Gagne
ガニベト	Ganivet
ガニメデ	Ganymede
ガニュバン	Gagnebin
ガニュメデス	Ganymede
ガニョア	Gagnoa
ガニョン	Gagnon
ガニラウ	Ganilau
ガネット	Gannett
ガネフ	Ganev
ガネリン	Ganelin
ガバイン	Gabain
ガバグリオ	Gabaglio
ガバライン	Gabarain
ガバルニ	Gavarni
ガバン	Ngabang
ガバンダ	Gawanda
ガパン	Gapan
ガビイ	Gabii
ガビオリ	Gavioli
ガビニウス	Gabinius
ガビラ	Gavira
ガビラテ	Gavirate
ガビンス	Gubbins
ガフ	Gough
ガフサ	Gafsa
ガフネ	Gafner
ガフリ	Gafuri
ガブ	Gabb
ガブション	Gavshon
ガブチコボ	Gabcikovo
ガブラ	Gabler
ガブリイル	Gavriil
ガブリエラ	Gabriela
ガブリエリ	Gabrieli
ガブリエル	Gabrielle
ガブリロフ	Gavrilov
ガブリロワ	Gavrilova
ガベス	Gabes
ガベラ	Gavela
ガベル	Gabel
ガベレンツ	Gabelentz
ガベロネス	Gaberones
ガベンロック	Govenlock
ガボ	Gabo
ガボッチョ	Gaboccho
ガボラ	Gabora
ガボリオ	Gaboriau
ガボン	Gabon
ガポン	Gapon
ガマ	Gama
ガマタ	Gamata
ガマラ	Gamarra
ガミオ	Gamio
ガミル	Gammill
ガム	Gam
ガムス	Gumbs
ガムポラ	Gampola
ガムレット	Hamlet
ガムレビ	Gamleby
ガメッジ	Gamage
ガメット	Gummett
ガメラ	Gamera
ガモス	Gamos
ガモフ	Gamow
ガモワ	Gamova
ガモン	Gammon
ガモンド	Gammond
ガヤ	Gaya
ガヤキル	Guayaquil
ガヤシ	Goyeche
ガヤック	Gaillac
ガヤトリ	Gayatri
ガライ	Garay
ガラクシジオン	Galaxidhion
ガラクチオノフ	Galaktionov
ガラクチオン	Galaction
ガラクチノワ	Galaktionova
ガラグリ	Garaguly
ガラシャ	Garasha
ガラス	Gallas
ガラセ	Qarase
ガラタサライ	Galatasaray
ガラチ	Galati
ガラチナ	Galatina
ガラッシ	Galassi
ガラッド	Garrad
ガラツ	Galati
ガラテア	Galatea
ガラテヤ	Galatia
ガラニュンス	Garanhuns
ガラハッド	Galahad
ガラバト	Gallabat
ガラパガル	Galapagar
ガラパゴス	Galapagos
ガラパン	Garapan
ガラブリュ	Galabru
ガラベンタ	Garaventa
ガラミアン	Galamian
ガラモン	Garamond
ガラルダ	Garralda
ガラルド	Gallardo
ガラルドン	Gallardon
ガラン	Galland
ガランタイ	Galantay
ガラント	Galante
ガランド	Gulland
ガランボス	Galambos
ガリ	Ngari
ガリア	Gallia
ガリアン	Gurian
ガリエ	Galie
ガリエナ	Galiena
ガリエニ	Gallieni
ガリエヌス	Gallienus
ガリエンヌ	Galienne
ガリオ	Gallio
ガリオン	Galion
ガリカイ	Garikayi
ガリカンピ	Galli-Campi
ガリクソン	Gullickson
ガリクルチ	Galli-Curci
ガリシア	Galicia
ガリス	Garris
ガリソン	Garrison
ガリチ	Galich
ガリチア	Galicia
ガリック	Garrick
ガリナ	Galina
ガリブ	Gharib
ガリペリン	Galperin
ガリペルシュテイン	Galpershtein
ガリポリ	Gallipoli
ガリポリス	Gallipolis
ガリヤテ	Galliate
ガリヤフキン	Goliavkin
ガリラヤ	Galilee
ガリリ	Galili
ガリル	Garilhe
ガリレイ	Galilei
ガリレオ	Galileo
ガリン	Garin
ガリング	Galling
ガル	Gal
ガルア	Garoua
ガルカイオ	Galkayo
ガルカユ	Galkayu
ガルガリアニ	Gargalianoi
ガルキン	Galkin
ガルグジダイ	Gargzhdai
ガルコ	Garko
ガルサウン	Garcao
ガルサン	Garcin
ガルシア	Garci'a
ガルシオ	Guercio
ガルシサンス	Garcisanz
ガルシュ	Garches
ガルシュテット	Garstedt
ガルシン	Garshin
ガルス	Gallus
ガルスト	Garst
ガルセス	Garces
ガルセル	Garcelle
ガルソン	Garzon
ガルダヤ	Ghardaia
ガルダン	Galdan
ガルダンヌ	Gardanne
ガルチエリ	Galtieli
ガルッピ	Galluppi
ガルデ	Gardet
ガルデラ	Gardella
ガルデル	Gardel
ガルデルリ	Gardelli
ガルト	Garut
ガルド	Gardo
ガルドス	Galdos
ガルドストン	Galdston
ガルドラ	Gardula
ガルドン	Galdone
ガルニエ	Garnier
ガルバ	Galva
ガルバノ	Galvano
ガルバレク	Garbarek
ガルバン	Galvao
ガルヒング	Garching
ガルビヤン	Garbyang
ガルビン	Galvin
ガルピリル	Gulpilil
ガルブランセン	Gulbranssen
ガルブレイス	Galbraith
ガルベ	Garbe
ガルベス	Galvez
ガルベストン	Galveston
ガルベルス	Garbers
ガルボ	Garbo
ガルボリン	Garwolin
ガルミッシュ	Garmisch
ガルム	Garm
ガルムクテサル	Garhmuktesar
ガルラン	Galeran
ガルリ	Galli
ガルリア	Gallia
ガルリナ	Garliner
ガルワ	Galwa
ガレ	Gallait
ガレス	Gareth
ガレッキ	Galecki
ガレット	Garrett
ガレノス	Galenos
ガレリウス	Galerius
ガレル	Garrel
ガレン	Galen
ガレンカンプ	Gallenkamp
ガレンガ	Gallenga
ガロア	Gallois
ガロウ	Garreau
ガロス	Gallos
ガロデト	Gallaudet
ガロビリャス	Garrovillas
ガロワ	Gallois
ガロンヌ	Garonne
ガワ	Gaoua
ガン	Gand
ガンガン	Guingamp
ガングヌス	Gangnus
ガンコツ	Gankotsu
ガンゴトリ	Gangotri
ガンジ	Gangi
ガンジア	Gandia
ガンジス	Ganges
ガンジャ	Gandzha
ガンス	Gance
ガンストン	Gunston
ガンスベルク	Gansberg
ガンズ	Gans
ガンゾ	Ganzo
ガンダム	Gundam
ガンダルフ	Gandalf
ガンチ	Ganci
ガンツ	Ganz
ガント	Gant
ガントク	Gangtok
ガントス	Gantos
ガントラム	Guntrum
ガントリップ	Guntrip
ガントレット	Gauntlett
ガントン	Gunton
ガンドウ	Gandow
ガンヌ	Ganne
ガンバ	Gamba
ガンバガ	Gambaga
ガンバラ	Gambara
ガンビナ	Gambina
ガンビル	Gambill
ガンブソリ	Ganbusori
ガンブラン	Gamblin
ガンブレル	Gumbrell
ガンプ	Gump
ガンプケ	Gambke
ガンベッタ	Gambetta
ガンボア	Gamboa
ガンボマ	Gamboma
ガンボン	Gambon
ガンマ	Gamma
キア	Chia
キアヌ	Keanu
キアバリ	Chiavari
キアマ	Kiama
キアミ	Kiami
キアラ	Chiara
キアラモンテ	Chiaramonte
キアラン	Ciaran
キアリ	Chiari
キアレッリ	Chiarelli
キアロスタミ	Kiarostami
キアンガン	Kiangan
キアンビ	Kiambi
キイ	Kii
キイス	Keyes
キイドランド	Kydland
キウジ	Chiusi
キウス	Kiusu
キウネ	Kiune
キエ	Kie
キエコ	Kieko
キエザ	Chiesa
キエタ	Kieta
キエノ	Kieno
キエフ	Kiev
キエプラ	Kiepura
キエリ	Chieri
キエンバ	Kyemba
キオカク	Keokuk
キオス	Chios
キオッジャ	Chioggia
キオワ	Kiowa
キオン	Keon
キカ	Kika
キカセ	Kikase
キガリ	Kigali
キキ	Kiki
キキア	Kikhia
キキョウ	Kikyou
キキンダ	Kikinda
キク	Kiku
キクイ	Kikui
キクエ	Kikue
キクカ	Kikuka
キクチ	Kikuchi
キクノ	Kikuno
キクミ	Kikumi
キクユ	Kikuyu
キクヨ	Kikuyo
キクラデス	Cycladic
キクレ	Quiquere
キクヱ	Kikue
キケロ	Cicero
キコ	Kiko
キサ	Kisa
キサキ	Kisaki
キサナ	Kisana
キサヤ	Kisaya
キサヨ	Kisayo
キサラ	Kisala
キサンガニ	Kisangani
キザ	Kizza
キザイア	Keziah
キシキノ	Kishkino
キシクンマイシャ	Kiskunmajsa
キシチム	Kysytym
キシチャク	Kiszczak
キシトワル	Kishtwar
キシニョフ	Kishinev
キシャダ	Quixada
キシャンガンジ	Kishanganj
キシュ	Kis
キシュイサラシ	Kisujszallas
キシュクンハラシュ	Kiskunhalas
キシュケビッツ	Kischkewitz
キシュラ	Quicherat
キショルガンジ	Kishorganj
キション	Kishon
キジ	Kiji
キジモフ	Kizmov
キジリスコエ	Kizil'skoye
キジルアルバト	Kizyl-Arvat
キス	Kiss
キスエ	Kisue
キスチョコ	Kisses
キストラン	Kistrand
キスマイヨ	Kismayu
キスマユ	Kismayu
キスム	Kisumu
キスヨ	Kisuyo
キスリング	Kisling
キスレンコ	Kislenko
キスワ	Kiswah
キズリャル	Kizlyar
キセノ	Kiseno
キセリョフ	Kiselev
キセリョフスク	Kiselevsk
キセヲ	Kiseo
キゼル	Kizel
キソエ	Kisoe
キソリプル	Kisoripur
キタ	Kita
キタイ	Kitaj
キタイン	Kitain
キタエンコ	Kitaenko
キタニング	Kittaning
キタムラ	Kitamura
キタレ	Kitale
キダル	Kidal
キチ	Kichi
キチア	Kichha
キチエ	Kichie
キチオン	Citium
キチヨ	Kichiyo
キック	Kikku
キッシュ	Kisch
キッチン	Kitchen
キッチンゲン	Kitzingen
キッテム	Kittim
キッテル	Kittel
キッデ	Kidde
キット	Kit
キットカット	KitKat
キットサプ	Kitsap
キッド	Kid
キッドマン	Kidman
キッピング	Kipping
キップ	Kipp
キップス	Kipps
キップハルト	Kipphardt
キップリング	Kipling
キッペンベルク	Kippenberg
キツエ	Kitsue
キツセ	Kitsuse
キテイン	Kitaen
キテガ	Kitega
キト	Quito
キトグム	Kitgum
キトリム	Kytlym
キトル	Kittle
キトレッジ	Kittredge
キドロン	Kidron
キナウシ	Kinaushi
キナウスナイ	Kinausunai
キナエ	Kinae
キナシエビッチ	Kinasiewicz
キナシベツ	Kinashibetsu
キナストン	Kynaston
キナチャウス	Kinachausu
キナラブック	Kinarabukku
キナヲ	Kinao
キニア	Kinnear
キヌ	Kinu
キヌエ	Kinue
キヌコ	Kinuko
キヌヨ	Kinuyo
キヌヱ	Kinue
キネ	Kine
キネア	Kinnear
キネシマ	Kineshma
キネナ	Kinena
キネリ	Kinel
キノ	Kino
キノウシロ	Kinoushiro
キノック	Kinnock
キノネス	Quinones
キノリ	Kinori
キノルド	Kinold
キバッソ	Chivasso
キバルタイ	Kibartai
キパス	Kiphuth
キパフル	Kipahulu
キパリシア	Kiparissia
キパリソフ	Kiparisov
キビ	Kivi
キビウ	Kibiu
キビリウス	Civilius
キピニ	Kipini
キフジ	Kifuji
キフト	Qift
キフヨ	Kifuyo
キブド	Quibdo
キブリア	Kibria
キブロン	Quiberon
キプチャク	Qipchaq
キプチャック	Qipchaq
キプニス	Kipnis
キプリアヌ	Kyprianou
キプリアヌス	Cyprianus
キプロス	Cyprus
キベラ	Kibera
キベルラン	Kiberlain
キボンド	Kibondo
キミ	Kimi
キミイ	Kimii
キミエ	Kimie
キミコ	Kimiko
キミノ	Kimino
キミヨ	Kimiyo
キミヱ	Kimie
キミンズ	Kimmins
キム	Kim
キムコ	Kimuko
キムシュテット	Kimstedt
キムチ	Kimchi
キムチョン	Kimchon
キムリエン	Kimurien
キムルイ	Kimry
キメント	Chimento
キモフスク	Kimovsk
キャクストン	Caxton
キャサリン	Katharine
キャシイ	Cathy
キャシオ	Cascio
キャシレス	Cassileth
キャス	Cass
キャステラ	Castella
キャステリ	Castelli
キャステン	Castaing
キャスリン	Catherine
キャセイ	Cathay
キャソン	Kasson
キャッシュ	Cash
キャッシュモア	Cashmore
キャッスル	Castle
キャッスルマン	Castleman
キャッセル	Cassel
キャッソ	Chiasso
キャッソン	Casson
キャッチ	Katch
キャッテル	Cattell
キャット	Catt
キャップ	Capp
キャップス	Capps
キャデラック	Cadillac
キャトラル	Cattrall
キャナリン	Chanarin
キャナン	Cannan
キャニング	Canning
キャニンジス	Canynges
キャノン	Canon
キャバリエ	Cavalier
キャバレロ	Cavallero
キャバンヌ	Cabanne
キャパ	Capa
キャビュオト	Cavuoto
キャピタランド	CapitaLand
キャピタン	Capitan
キャフタ	Kyakhta
キャブ	Cab
キャブレラ	Cabrera
キャプラ	Capra
キャプラン	Caplan
キャプリン	Caplin
キャプレット	Caplet
キャベル	Cabell
キャペリ	Chiapelli
キャボット	Cabot-Roman
キャムデン	Camden
キャメリアン	Camellion
キャメロット	Camelot
キャメロン	Cameron
キャモメ	Camome
キャラ	Cara
キャラシベッタ	Calasibetta
キャラダイン	Carradine
キャラハン	Calahan
キャラブレイス	Calabrese
キャラブレッタ	Calabretta
キャラン	Karan
キャリア	Carrier
キャリガン	Carrigan
キャリコット	Callicott
キャリス	Callis
キャリスン	Callison
キャリット	Carritt
キャリニコス	Callinicos
キャリバン	Caliban
キャリル	Caryl
キャリン	Callin
キャリントン	Carrington
キャル	Cal
キャルドラ	Kyardla
キャルビン	Calvin
キャレロ	Calero
キャレン	Callen
キャロ	Kyaro
キャロッシュ	Charosh
キャロベス	Carobeth
キャロラ	Carola
キャロライン	Caroline
キャロラン	Carolan
キャロリン	Caroline
キャロル	Carol
キャロン	Caron
キャン	Camps
キャンテロ	Cantelo
キャンデス	Candice
キャンデラ	Candela
キャンデル	Kandel
キャントリル	Cantril
キャンドリッシュ	Candlish
キャンパニス	Campanis
キャンパネラ	Campanella
キャンピオン	Campion
キャンピョン	Campion
キャンプ	Camp
キャンプトン	Campton
キャンベラ	Canberra
キャンベル	Campbell
キヤ	Kiya
キヤウ	Kyou
キュアトン	Cureton
キュイ	Cui
キュエノ	Cuenot
キュクロペス	Cyclops
キュシュ	Cuche
キュジコス	Cyzicus
キュステンジル	Kyustendil
キュスナハト	Kusnacht
キュセ	Cusset
キュタヒヤ	Kutahya
キュチュク	Kucuk
キュックリヒ	Kucklich
キュドノス	Kydonos
キュニッツ	Kunits
キュネウルフ	Cynewulf
キュネッケ	Kunneke
キュバン	Cubane
キュビエ	Cuvier
キュビリエ	Cuvillier
キュプロス	Kypros
キュベレ	Cybele
キュベレイ	Cybele
キュミ	Kymi
キュモン	Cumont
キュリス	Kurys
キュルバル	Curval
キュルペ	Kulpe
キュレネ	Cyrene
キュレル	Curel
キュン	Kuen
キュンチ	Kunzi
キュンメル	Kummel
キユイ	Kiyui
キョオニヒ	Koenig
キョプリュリュ	Koprulu
キョル	Kol
キョン	Kyon
キョンギ	Kyonggi
キヨ	Kiyo
キヨイ	Kiyoi
キヨエ	Kiyoe
キヨカ	Kiyoka
キヨコ	Kiyoko
キヨシ	Kiyoshi
キヨズ	kiyo's
キヨソネ	Chiossone
キヨタ	Quillota
キヨツ	Kiyotsu
キヨニ	Kiyoni
キヨノ	Kiyono
キヨヘ	Kiyohe
キヨベンダ	Chiovenda
キヨミ	Kiyomi
キヨヱ	Kiyoe
キラ	Kira
キラウエア	Kilauea
キラニン	Killanin
キラム	Kilham
キララ	Killala
キラリ	Kirari
キラン	Kieran
キリ	Kiri
キリアキ	Kyriaki
キリアコウ	Kyriacou
キリアニ	Kiliani
キリアン	Kilian
キリエ	Kirie
キリエンコ	Kirienko
キリカ	Kirika
キリキア	Cilicia
キリグア	Quirigua
キリコ	Kiriko
キリシ	Kirishi
キリス	Kilis
キリト	Kirito
キリバス	Kiribati
キリマチンデ	Kilimatinde
キリマリ	Quilimari
キリマンジャロ	Kilimanjaro
キリヤ	Kyr'ya
キリリ	Kirili
キリル	Kirill
キリレンコ	Kirilenko
キリロボ	Kirillovo
キリン	Kirin
キリン	Kirin
キリンテ	Kirinte
キリンベック	Killingbeck
キルガス	Kilgas
キルキス	Kilkis
キルギス	Kirghiz
キルギスタン	Kyrgyzstan
キルギズ	Kirghiz
キルギリ	Kirgili
キルク	Kirk
キルケ	Circe
キルコモンズ	Kilcommons
キルゴア	Kilgore
キルシュ	Kirsch
キルシュシュタイン	Kirschstein
キルシュベング	Kirschweng
キルション	Kirshon
キルジャリ	Kurdzhali
キルステッド	Kihlstedt
キルステン	Kirsten
キルスト	Kirst
キルスドンク	Kilsdonk
キルタ	Cirta
キルダフ	Kilduff
キルチュ	Kilchu
キルデア	Kildare
キルナ	Kiruna
キルバン	Kilbane
キルパトリック	Kilpatrick
キルヒベルク	Kilchberg
キルヒホフ	Kirchhoff
キルヒマン	Kirchmann
キルピチニコフ	Kirpichnikov
キルピネン	Kilpinen
キルプ	Quilp
キルプエ	Quilpue
キルメス	Quilmes
キルモニス	Kilmonis
キルラッシュ	Kilrush
キルロイ	Kilroy
キルワ	Kilwa
キルン	Kirn
キレス	Quiles
キレナイカ	Cirenaica
キレニア	Kyrenia
キレネ	Cyrene
キレン	Kyren
キレンスク	Kirensk
キロ	Cilo
キロガ	Quiroga
キロサ	Kilosa
キロス	Quiros
キロバカン	Kirovakan
キロン	Chilon
キワ	Kiwa
キワヌカ	Kiwanuka
キヱ	Kie
キヱキ	Kieki
キン	Kin
キンカ	Kinka
キンガロイ	Kingaroy
キンギセップ	Kingisepp
